SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
BedsTotal,,"Beds Total",R1235,"Beds Total",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Block,,Block,R1236,Block,20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
BoatAccess,,"Boat Access",R1240,"Boat Access",1000,Character,,1,LookupMulti,Left,0,,BoatAccess,100,,,,,,0,,0,,,,,
BuildingDesc,,"Building Desc",R1243,"Building Desc",1000,Character,,1,LookupMulti,Left,0,,BuildingDesc,100,,,,,,0,,0,,,,,
BuildingDesign,,"Building Design",R1244,"Building Design",75,Character,,1,Lookup,Left,0,,BuildingDesign,1,,,,,,0,,0,,,,,
BuildingNumber,,"Building Number",R1245,"Building Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CableAvailableYN,,"Cable Available YN",R1247,"Cable Available YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
CanalWidth,,"Canal Width",R1248,"Canal Width",75,Character,,1,Lookup,Left,0,,CanalWidth,1,,,,,,0,,0,,,,,
CarportDesc,,"Carport Desc",R1250,"Carport Desc",75,Character,,1,Lookup,Left,0,,CarportDesc,1,,,,,,0,,0,,,,,
CarportSpaces,,"Carport Spaces",R1251,"Carport Spaces",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
CDOM,,CDOM,R1252,CDOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
City,,City,R1260,City,75,Character,,1,Lookup,Left,0,,City,1,,,,,,0,,0,,,,,
CoListAgent_MUI,,"Co List Agent MUI",R1263,"Co List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListAgentDirectWorkPhone,,"Co List Agent Direct Work Phone",R1264,"Co List Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentFullName,,"Co List Agent Full Name",R1266,"Co List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListAgentMLSID,,"Co List Agent MLSID",R1267,"Co List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOffice_MUI,,"Co List Office MUI",R1268,"Co List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
CoListOfficeMLSID,,"Co List Office MLSID",R1269,"Co List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficeName,,"Co List Office Name",R1270,"Co List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CoListOfficePhone,,"Co List Office Phone",R1271,"Co List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CommunityType,,"Community Type",R1272,"Community Type",1000,Character,,1,LookupMulti,Left,0,,CommunityType,100,,,,,,0,,0,,,,,
CompensationPaidFrom,,"Compensation Paid From",R2405,"Compensation Paid From",75,Character,,1,Lookup,Left,0,,CompensationPaidFrom,1,,,,,,0,,0,,,,,
CompensationTerm,,"Compensation Term",R2406,"Compensation Term",75,Character,,1,Lookup,Left,0,,CompensationTerm,1,,,,,,0,,0,,,,,
Construction,,Construction,R1275,Construction,1000,Character,,1,LookupMulti,Left,0,,Construction,100,,,,,,0,,0,,,,,
Cooling,,Cooling,R1277,Cooling,1000,Character,,1,LookupMulti,Left,0,,Cooling,100,,,,,,0,,0,,,,,
CountyOrParish,,"County Or Parish",R1287,"County Or Parish",75,Character,,1,Lookup,Left,0,,CountyOrParish,1,,,,,,0,,0,,,,,
CountyRegistrationNumber,,"County Registration Number",R4345,"County Registration Numb",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
CreatedDate,,"Created Date",R1288,"Created Date",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
CreditApplicationFee,,"Credit Application Fee",R1289,"Credit Application Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
CurrentPrice,,"Current Price",R1290,"Current Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
DateRented,,"Date Rented",R1291,"Date Rented",10,Date,,1,,Left,0,,,,,,,,,0,,0,,,,,
DenFlexYN,,"Den Flex YN",R4335,"Den Flex YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
DepartureCleaningFee,,"Departure Cleaning Fee",R1292,"Departure Cleaning Fee",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Development,,Development,R2335,Development,75,Character,,1,Lookup,Left,0,,Development,1,,,,,,0,,0,,,,,
DevelopmentName,,"Development Name",R1293,"Development Name",75,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
DisclosureYN,,"Disclosure YN",R1295,"Disclosure YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
DOM,,DOM,R1301,DOM,11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
ElectricCap,,"Electric Cap",R4343,"Electric Cap",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
ElementarySchool,,"Elementary School",R1302,"Elementary School",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Elevator,,Elevator,R1303,Elevator,75,Character,,1,Lookup,Left,0,,Elevator,1,,,,,,0,,0,,,,,
Equipment,,Equipment,R1304,Equipment,1000,Character,,1,LookupMulti,Left,0,,Equipment,100,,,,,,0,,0,,,,,
