SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
Irrigation,,Irrigation,R1020,Irrigation,1000,Character,,1,LookupMulti,Left,0,,Irrigation,100,,,,,,0,,0,,,,,
LastChangeTimestamp,,"Last Change Timestamp",R1025,"Last Change Timestamp",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeType,,"Last Change Type",R1026,"Last Change Type",75,Character,,1,Lookup,Left,0,,LastChangeType,1,,,,,,0,,0,,,,,
LastMonthRentReqYN,,"Last Month Rent Req YN",R2345,"Last Month Rent Req YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Latitude,,Latitude,R1030,Latitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LegalDesc,,"Legal Desc",R1033,"Legal Desc",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LegalUnit,,"Legal Unit",R1034,"Legal Unit",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R1035,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R1036,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentFullName,,"List Agent Full Name",R1038,"List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentMLSID,,"List Agent MLSID",R1039,"List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListingOnInternetYN,,"Listing On Internet YN",R1041,"Listing On Internet YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOffice_MUI,,"List Office MUI",R1042,"List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListOfficeMLSID,,"List Office MLSID",R1043,"List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficeName,,"List Office Name",R1044,"List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficePhone,,"List Office Phone",R1045,"List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListPrice,,"List Price",R1046,"List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
Longitude,,Longitude,R1047,Longitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LotBack,,"Lot Back",R1048,"Lot Back",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotDesc,,"Lot Desc",R1049,"Lot Desc",1000,Character,,1,LookupMulti,Left,0,,LotDesc,100,,,,,,0,,0,,,,,
LotFrontage,,"Lot Frontage",R1050,"Lot Frontage",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotLeft,,"Lot Left",R1051,"Lot Left",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotRight,,"Lot Right",R1052,"Lot Right",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LotUnit,,"Lot Unit",R1056,"Lot Unit",15,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Management,,Management,R2279,Management,75,Character,,1,Lookup,Left,0,,Management,1,,,,,,0,,0,,,,,
matrix_unique_id,,"Matrix Unique ID",R1063,"Matrix Unique ID",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,1,,,,,
MatrixModifiedDT,,"Matrix Modified DT",R1064,"Matrix Modified DT",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
MLS,,MLS,R1069,MLS,75,Character,,1,Lookup,Left,0,,MLS,1,,,,,,0,,0,,,,,
MLSAreaMajor,,"MLS Area Major",R1070,"MLS Area Major",75,Character,,1,Lookup,Left,0,,MLSAreaMajor,1,,,,,,0,,0,,,,,
MLSNumber,,"MLS Number",R1072,"MLS Number",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NonRepComp,,"Non Rep Comp",R1073,"Non Rep Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NumUnitFloor,,"Num Unit Floor",R2488,"Num Unit Floor",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OriginalListPrice,,"Original List Price",R1083,"Original List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
OtherIncome,,"Other Income",R1084,"Other Income",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
OWNINT,,OWNINT,R4373,OWNINT,75,Character,,1,Lookup,Left,0,,OWNINT,1,,,,,,0,,0,,,,,
ParcelNumber,,"Parcel Number",R1087,"Parcel Number",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Pets,,Pets,R1093,Pets,1000,Character,,1,Lookup,Left,0,,Pets,1,,,,,,0,,0,,,,,
PetsLimitMaxNumber,,"Pets Limit Max Number",R1094,"Pets Limit Max Number",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PetsLimitMaxWeight,,"Pets Limit Max Weight",R1095,"Pets Limit Max Weight",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PetsLimitOther,,"Pets Limit Other",R1096,"Pets Limit Other",125,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PhotoCount,,"Photo Count",R1097,"Photo Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PhotoModificationTimestamp,,"Photo Modification Timestamp",R1098,"Photo Modification Times",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
Possession,,Possession,R1099,Possession,1000,Character,,1,LookupMulti,Left,0,,Possession,100,,,,,,0,,0,,,,,
PostalCode,,"Postal Code",R1100,"Postal Code",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PostalCodePlus4,,"Postal Code Plus 4",R1101,"Postal Code Plus 4",4,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PotentialShortSaleYN,,"Potential Short Sale YN",R1103,"Potential Short Sale YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PrivatePoolDesc,,"Private Pool Desc",R1109,"Private Pool Desc",1000,Character,,1,LookupMulti,Left,0,,PrivatePoolDesc,100,,,,,,0,,0,,,,,
PrivatePoolYN,,"Private Pool YN",R1110,"Private Pool YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PrivateSpaDesc,,"Private Spa Desc",R1111,"Private Spa Desc",1000,Character,,1,LookupMulti,Left,0,,PrivateSpaDesc,100,,,,,,0,,0,,,,,
PrivateSpaYN,,"Private Spa YN",R1112,"Private Spa YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyAddressonInternetYN,,"Property Addresson Internet YN",R1113,"Property Addresson Inter",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyInformation,,"Property Information",R1115,"Property Information",3000,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyType,,"Property Type",R1117,"Property Type",75,Character,,1,Lookup,Left,0,,PropertyType,1,,,,,,0,,0,,,,,
Range,,Range,R1120,Range,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
Road,,Road,R1130,Road,1000,Character,,1,LookupMulti,Left,0,,Road,100,,,,,,0,,0,,,,,
Roof,,Roof,R1131,Roof,1000,Character,,1,LookupMulti,Left,0,,Roof,100,,,,,,0,,0,,,,,
RoomCount,,"Room Count",R1132,"Room Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Section,,Section,R1135,Section,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
SellerConcessionAmount,,"Seller Concession Amount",R2630,"Seller Concession Amount",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgent_MUI,,"Selling Agent MUI",R1139,"Selling Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingAgentDirectWorkPhone,,"Selling Agent Direct Work Phone",R1140,"Selling Agent Direct Wor",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentFullName,,"Selling Agent Full Name",R1142,"Selling Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingAgentMLSID,,"Selling Agent MLSID",R1143,"Selling Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOffice_MUI,,"Selling Office MUI",R1144,"Selling Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
SellingOfficeMLSID,,"Selling Office MLSID",R1145,"Selling Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficeName,,"Selling Office Name",R1146,"Selling Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SellingOfficePhone,,"Selling Office Phone",R1147,"Selling Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentAddress,,"Settlement Agent Address",R2631,"Settlement Agent Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentEmail,,"Settlement Agent Email",R2632,"Settlement Agent Email",80,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentName,,"Settlement Agent Name",R2633,"Settlement Agent Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SettlementAgentPhone,,"Settlement Agent Phone",R2634,"Settlement Agent Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Sewer,,Sewer,R1148,Sewer,1000,Character,,1,LookupMulti,Left,0,,Sewer,100,,,,,,0,,0,,,,,
SourceofMeasureLotDimensions,,"Sourceof Measure Lot Dimensions",R2280,"Sourceof Measure Lot Dim",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasureLotDimensions,100,,,,,,0,,0,,,,,
SourceofMeasureLotSize,,"Sourceof Measurements",R1155,"Sourceof Measurements",1000,Character,,1,LookupMulti,Left,0,,SourceofMeasurements,100,,,,,,0,,0,,,,,
SpecialInformation,,"Special Information",R1158,"Special Information",1000,Character,,1,LookupMulti,Left,0,,SpecialInformation,100,,,,,,0,,0,,,,,
SprinklerSource,,"Sprinkler Source",R1159,"Sprinkler Source",75,Character,,1,Lookup,Left,0,,SprinklerSource,1,,,,,,0,,0,,,,,
StateOrProvince,,"State Or Province",R1162,"State Or Province",2,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Status,,Status,R1163,Status,75,Character,,1,Lookup,Left,0,,Status,1,,,,,,0,,0,,,,,
StatusType,,"Status Type",R1166,"Status Type",75,Character,,1,Lookup,Left,0,,StatusType,1,,,,,,0,,0,,,,,
StreetDirPrefix,,"Street Dir Prefix",R1167,"Street Dir Prefix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
StreetDirSuffix,,"Street Dir Suffix",R1168,"Street Dir Suffix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
StreetName,,"Street Name",R1169,"Street Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumber,,"Street Number",R1170,"Street Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumberModifier,,"Street Number Modifier",R1171,"Street Number Modifier",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetSuffix,,"Street Suffix",R1172,"Street Suffix",75,Character,,1,Lookup,Left,0,,StreetSuffix,1,,,,,,0,,0,,,,,
SubCondoName,,"Sub Condo Name",R1174,"Sub Condo Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SubdivisionNumber,,"Subdivision Number",R1175,"Subdivision Number",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Table,,Table,R1178,Table,75,Character,,1,Lookup,Left,0,,Table,1,,,,,,0,,0,,,,,
TaxDesc,,"Tax Desc",R1180,"Tax Desc",1000,Character,,1,LookupMulti,Left,0,,TaxDesc,100,,,,,,0,,0,,,,,
TaxDistrictType,,"Tax District Type",R1181,"Tax District Type",75,Character,,1,Lookup,Left,0,,TaxDistrictType,1,,,,,,0,,0,,,,,
Taxes,,Taxes,R1182,Taxes,17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
TaxYear,,"Tax Year",R1183,"Tax Year",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
TenantPays,,"Tenant Pays",R1185,"Tenant Pays",1000,Character,,1,LookupMulti,Left,0,,TenantPays,100,,,,,,0,,0,,,,,
Terms,,Terms,R1186,Terms,1000,Character,,1,LookupMulti,Left,0,,Terms,100,,,,,,0,,0,,,,,
TotalBuildings,,"Total Buildings",R1188,"Total Buildings",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
Township,,Township,R1190,Township,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
TransBrokerComp,,"Trans Broker Comp",R1191,"Trans Broker Comp",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
TransferFee,,"Transfer Fee",R1192,"Transfer Fee",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
UnitCount,,"Unit Count",R1193,"Unit Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
UnitNumber,,"Unit Number",R1195,"Unit Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
UnitsinBuilding,,"Unitsin Building",R1196,"Unitsin Building",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
UnitTotalSqft,,"Unit Total Sqft",R2522,"Unit Total Sqft",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
VariableRateCommissionYN,,"Variable Rate Commission YN",R1198,"Variable Rate Commission",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
VirtualTourURL,,"Virtual Tour URL",R1200,"Virtual Tour URL",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
VirtualTourURL2,,"Virtual Tour URL 2",R2672,"Virtual Tour URL 2",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Water,,Water,R1202,Water,1000,Character,,1,LookupMulti,Left,0,,Water,100,,,,,,0,,0,,,,,
WaterfrontDesc,,"Waterfront Desc",R1203,"Waterfront Desc",1000,Character,,1,LookupMulti,Left,0,,WaterfrontDesc,100,,,,,,0,,0,,,,,
WaterfrontYN,,"Waterfront YN",R1204,"Waterfront YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Windows,,Windows,R1205,Windows,1000,Character,,1,LookupMulti,Left,0,,Windows,100,,,,,,0,,0,,,,,
YearBuilt,,"Year Built",R1207,"Year Built",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
ZoningCode,,"Zoning Code",R1208,"Zoning Code",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
