SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
StateOrProvince,,"State Or Province",R819,"State Or Province",2,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Status,,Status,R883,Status,75,Character,,1,Lookup,Left,0,,Status,1,,,,,,0,,0,,,,,
StatusType,,"Status Type",R884,"Status Type",75,Character,,1,Lookup,Left,0,,StatusType,1,,,,,,0,,0,,,,,
StormProtection,,"Storm Protection",R885,"Storm Protection",1000,Character,,1,LookupMulti,Left,0,,StormProtection,100,,,,,,0,,0,,,,,
StreetDirPrefix,,"Street Dir Prefix",R886,"Street Dir Prefix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
StreetDirSuffix,,"Street Dir Suffix",R887,"Street Dir Suffix",75,Character,,1,Lookup,Left,0,,CardinalPoints,1,,,,,,0,,0,,,,,
StreetName,,"Street Name",R822,"Street Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumber,,"Street Number",R823,"Street Number",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetNumberModifier,,"Street Number Modifier",R824,"Street Number Modifier",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
StreetSuffix,,"Street Suffix",R888,"Street Suffix",75,Character,,1,Lookup,Left,0,,StreetSuffix,1,,,,,,0,,0,,,,,
SubCondoName,,"Sub Condo Name",R826,"Sub Condo Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
SubdivisionNumber,,"Subdivision Number",R827,"Subdivision Number",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
Table,,Table,R889,Table,75,Character,,1,Lookup,Left,0,,Table,1,,,,,,0,,0,,,,,
TaxDesc,,"Tax Desc",R890,"Tax Desc",1000,Character,,1,LookupMulti,Left,0,,TaxDesc,100,,,,,,0,,0,,,,,
TaxDistrictType,,"Tax District Type",R891,"Tax District Type",75,Character,,1,Lookup,Left,0,,TaxDistrictType,1,,,,,,0,,0,,,,,
Taxes,,Taxes,R831,Taxes,17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
TaxYear,,"Tax Year",R832,"Tax Year",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
