SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
EffectiveGross,,"Effective Gross",R1823,"Effective Gross",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
Electric,,Electric,R1824,Electric,1000,Character,,1,LookupMulti,Left,0,,Electric,100,,,,,,0,,0,,,,,
ExpensesInclude,,"Expenses Include",R1826,"Expenses Include",1000,Character,,1,LookupMulti,Left,0,,ExpensesInclude,100,,,,,,0,,0,,,,,
FencedYardYN,,"Fenced Yard YN",R1828,"Fenced Yard YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FireSprinklersYN,,"Fire Sprinklers YN",R1831,"Fire Sprinklers YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ForeclosedREOYN,,"Foreclosed REOYN",R1832,"Foreclosed REOYN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
FullAddress,,"Full Address",R1833,"Full Address",100,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
GulfAccessType,,"Gulf Access Type",R1834,"Gulf Access Type",1000,Character,,1,LookupMulti,Left,0,,GulfAccessType,100,,,,,,0,,0,,,,,
GulfAccessYN,,"Gulf Access YN",R1835,"Gulf Access YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
Heat,,Heat,R1836,Heat,1000,Character,,1,LookupMulti,Left,0,,Heat,100,,,,,,0,,0,,,,,
HeatingRemarks,,"Heating Remarks",R1837,"Heating Remarks",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
HeatingYN,,"Heating YN",R1838,"Heating YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
IncomeCapRate,,"Income Cap Rate",R1841,"Income Cap Rate",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
IncomeExpenseInfo,,"Income Expense Info",R1842,"Income Expense Info",1000,Character,,1,LookupMulti,Left,0,,IncomeExpenseInfo,100,,,,,,0,,0,,,,,
Insurance,,Insurance,R1844,Insurance,17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
InterestRate,,"Interest Rate",R1845,"Interest Rate",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
InternetSites,,"Internet Sites",R1846,"Internet Sites",1000,Character,,1,LookupMulti,Left,0,,InternetSites,100,,,,,,0,,0,,,,,
InvestmentType,,"Investment Type",R1847,"Investment Type",75,Character,,1,Lookup,Left,0,,InvestmentType,1,,,,,,0,,0,,,,,
LandSqFt,,"Land Sq Ft",R1850,"Land Sq Ft",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LastChangeTimestamp,,"Last Change Timestamp",R1851,"Last Change Timestamp",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
LastChangeType,,"Last Change Type",R1852,"Last Change Type",75,Character,,1,Lookup,Left,0,,LastChangeType,1,,,,,,0,,0,,,,,
Latitude,,Latitude,R1855,Latitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LeasedRateDesc,,"Leased Rate Desc",R2618,"Leased Rate Desc",75,Character,,1,Lookup,Left,0,,LeaseRateDesc,1,,,,,,0,,0,,,,,
LeaseLossFactorPercentage,,"Lease Loss Factor Percentage",R1856,"Lease Loss Factor Percen",17,Decimal,2,1,Number,Right,0,,,,,,0,9999999999999,,0,,0,,,,,
LeaseMinClearCeilingHeight,,"Lease Min Clear Ceiling Height",R1857,"Lease Min Clear Ceiling ",40,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LeaseNoOfGradeLevelDoors,,"Lease No Of Grade Level Doors",R1858,"Lease No Of Grade Level ",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LeaseNoOfParkingSpaces,,"Lease No Of Parking Spaces",R1859,"Lease No Of Parking Spac",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LeaseNumberOfElevators,,"Lease Number Of Elevators",R1860,"Lease Number Of Elevator",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LeasePower,,"Lease Power",R1861,"Lease Power",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
LeasePrice,,"Lease Price",R1862,"Lease Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
LeaseRailYN,,"Lease Rail YN",R1863,"Lease Rail YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
LeaseRateDesc,,"Lease Rate Desc",R1864,"Lease Rate Desc",75,Character,,1,Lookup,Left,0,,LeaseRateDesc,1,,,,,,0,,0,,,,,
LeaseTrafficCount,,"Lease Traffic Count",R1866,"Lease Traffic Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
LegalDesc,,"Legal Desc",R1867,"Legal Desc",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
License,,License,R1868,License,1000,Character,,1,LookupMulti,Left,0,,License,100,,,,,,0,,0,,,,,
ListAgent_MUI,,"List Agent MUI",R1870,"List Agent MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListAgentDirectWorkPhone,,"List Agent Direct Work Phone",R1871,"List Agent Direct Work P",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentFullName,,"List Agent Full Name",R1873,"List Agent Full Name",150,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListAgentMLSID,,"List Agent MLSID",R1874,"List Agent MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListingOnInternetYN,,"Listing On Internet YN",R1876,"Listing On Internet YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOffice_MUI,,"List Office MUI",R1878,"List Office MUI",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,0,,,,,
ListOfficeMLSID,,"List Office MLSID",R1879,"List Office MLSID",25,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficeName,,"List Office Name",R1880,"List Office Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListOfficePhone,,"List Office Phone",R1881,"List Office Phone",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
ListPrice,,"List Price",R1882,"List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
ListPriceDesc,,"List Price Desc",R1883,"List Price Desc",75,Character,,1,Lookup,Left,0,,ListPriceDesc,1,,,,,,0,,0,,,,,
Longitude,,Longitude,R1884,Longitude,11,Decimal,6,1,Number,Right,0,,,,,,-999,999,,0,,0,,,,,
LotFrontage,,"Lot Frontage",R1885,"Lot Frontage",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
matrix_unique_id,,"Matrix Unique ID",R1890,"Matrix Unique ID",19,Long,,1,Number,Right,0,,,,,,0,9223372036854775807,,0,,1,,,,,
MatrixModifiedDT,,"Matrix Modified DT",R1891,"Matrix Modified DT",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
MaximumSubjectPropertySqFt,,"Maximum Subject Property Sq Ft",R1893,"Maximum Subject Property",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
MinimumSubjectPropertySqFt,,"Minimum Subject Property Sq Ft",R1894,"Minimum Subject Property",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
MLS,,MLS,R1895,MLS,75,Character,,1,Lookup,Left,0,,MLS,1,,,,,,0,,0,,,,,
MLSAreaMajor,,"MLS Area Major",R1896,"MLS Area Major",75,Character,,1,Lookup,Left,0,,MLSAreaMajor,1,,,,,,0,,0,,,,,
MLSNumber,,"MLS Number",R1898,"MLS Number",20,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
NumberDockHighDoors,,"Number Dock High Doors",R1900,"Number Dock High Doors",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
NumberOfBays,,"Number Of Bays",R1901,"Number Of Bays",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
NumberofLoadingDoors,,"Numberof Loading Doors",R1902,"Numberof Loading Doors",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
NumberOfSpacesUnits,,"Number Of Spaces Units",R1903,"Number Of Spaces Units",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
NumUnitFloor,,"Num Unit Floor",R2490,"Num Unit Floor",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
OriginalListPrice,,"Original List Price",R1914,"Original List Price",16,Decimal,2,1,Number,Right,0,,,,,,0,999999999999,,0,,0,,,,,
OwnershipDesc,,"Ownership Desc",R1918,"Ownership Desc",75,Character,,1,Lookup,Left,0,,OwnershipDesc,1,,,,,,0,,0,,,,,
ParcelNumber,,"Parcel Number",R1919,"Parcel Number",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PhotoCount,,"Photo Count",R1923,"Photo Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
PhotoModificationTimestamp,,"Photo Modification Timestamp",R1924,"Photo Modification Times",23,DateTime,,1,,Left,0,,,,,,,,,0,,0,,,,,
Possession,,Possession,R1925,Possession,1000,Character,,1,LookupMulti,Left,0,,Possession,100,,,,,,0,,0,,,,,
PostalCode,,"Postal Code",R1926,"Postal Code",10,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PostalCodePlus4,,"Postal Code Plus 4",R1927,"Postal Code Plus 4",4,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PotentialShortSaleYN,,"Potential Short Sale YN",R1929,"Potential Short Sale YN",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyAddressonInternetYN,,"Property Addresson Internet YN",R1936,"Property Addresson Inter",1,Boolean,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyHighlights,,"Property Highlights",R1938,"Property Highlights",1000,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyInformation,,"Property Information",R1939,"Property Information",3000,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyLocation,,"Property Location",R1940,"Property Location",255,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyName,,"Property Name",R1941,"Property Name",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
PropertyType,,"Property Type",R1943,"Property Type",75,Character,,1,Lookup,Left,0,,PropertyType,1,,,,,,0,,0,,,,,
PropertyUseType,,"Property Use Type",R1945,"Property Use Type",75,Character,,1,Lookup,Left,0,,PropertyUseType,1,,,,,,0,,0,,,,,
Range,,Range,R1948,Range,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
ReportTitle,,"Report Title",R1954,"Report Title",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
RoomCount,,"Room Count",R1955,"Room Count",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
RoomMixAvgRate,,"Room Mix Avg Rate",R1956,"Room Mix Avg Rate",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
RoomMixBeds,,"Room Mix Beds",R1957,"Room Mix Beds",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
RoomMixDesc,,"Room Mix Desc",R1958,"Room Mix Desc",50,Character,,1,,Left,0,,,,,,,,,0,,0,,,,,
RoomMixNumberOfRooms,,"Room Mix Number Of Rooms",R1959,"Room Mix Number Of Rooms",11,Int,,1,Number,Right,0,,,,,,-2147483648,2147483647,,0,,0,,,,,
SaleIncludes,,"Sale Includes",R1960,"Sale Includes",1000,Character,,1,LookupMulti,Left,0,,SaleIncludes,100,,,,,,0,,0,,,,,
Section,,Section,R1961,Section,25,Character,,1,,Right,0,,,,,,,,,0,,0,,,,,
